chrom	start	end	value
chr1	0	999999	0.689613
chr1	200000	1199999	0.761583
chr1	400000	1399999	0.834166
chr1	600000	1599999	0.802123
chr1	800000	1799999	0.773887
chr1	1000000	1999999	0.760373
chr1	1200000	2199999	0.782631
chr1	1400000	2399999	0.716458
chr1	1600000	2599999	0.750517
chr1	1800000	2799999	0.759619
chr1	2000000	2999999	0.750726
chr1	2200000	3199999	0.692166
chr1	2400000	3399999	0.700152
chr1	2600000	3599999	0.665628
chr1	2800000	3799999	0.682302
chr1	3000000	3999999	0.676462
chr1	3200000	4199999	0.693302
chr1	3400000	4399999	0.697899
chr1	3600000	4599999	0.664173
chr1	3800000	4799999	0.650587
chr1	4000000	4999999	0.644421
chr1	4200000	5199999	0.699941
chr1	4400000	5399999	0.687124
chr1	4600000	5599999	0.690963
chr1	4800000	5799999	0.680519
chr1	5000000	5999999	0.706407
chr1	5200000	6199999	0.64379
chr1	5400000	6399999	0.643284
chr1	5600000	6599999	0.679786
chr1	5800000	6799999	0.719619
chr1	6000000	6999999	0.719766
chr1	6200000	7199999	0.725082
chr1	6400000	7399999	0.71489
chr1	6600000	7599999	0.733422
chr1	6800000	7799999	0.693719
chr1	7000000	7999999	0.680415
chr1	7200000	8199999	0.66165
chr1	7400000	8399999	0.639936
chr1	7600000	8599999	0.612697
chr1	7800000	8799999	0.623998
chr1	8000000	8999999	0.65728
chr1	8200000	9199999	0.667692
chr1	8400000	9399999	0.733764
chr1	8600000	9599999	0.712015
chr1	8800000	9799999	0.725529
chr1	9000000	9999999	0.724861
chr1	9200000	10199999	0.742258
chr1	9400000	10399999	0.740388
chr1	9600000	10599999	0.774843
chr1	9800000	10799999	0.771507
chr1	10000000	10999999	0.720656
chr1	10200000	11199999	0.706375
chr1	10400000	11399999	0.713731
chr1	10600000	11599999	0.71536
chr1	10800000	11799999	0.727772
chr1	11000000	11999999	0.754556
chr1	11200000	12199999	0.750402
chr1	11400000	12399999	0.696669
chr1	11600000	12599999	0.65834
chr1	11800000	12799999	0.631925
chr1	12000000	12999999	0.618412
chr1	12200000	13199999	0.61872
